audio_path,accent,speaker_id
./samples/spanish/sample00.wav,spanish,cuba3
./samples/spanish/sample01.wav,spanish,panama3
./samples/spanish/sample02.wav,spanish,veracruz2
./samples/spanish/sample03.wav,spanish,colombia2
./samples/spanish/sample04.wav,spanish,sinaloa1
./samples/spanish/sample05.wav,spanish,colombia12
./samples/spanish/sample06.wav,spanish,venezuela2
./samples/spanish/sample07.wav,spanish,peru4
./samples/spanish/sample08.wav,spanish,brazil10
./samples/spanish/sample09.wav,spanish,honduras1
./samples/british_isles/sample00.wav,british_isles,england109
./samples/british_isles/sample01.wav,british_isles,england74
./samples/british_isles/sample02.wav,british_isles,ireland15
./samples/british_isles/sample03.wav,british_isles,england114
./samples/british_isles/sample04.wav,british_isles,scotland11
./samples/british_isles/sample05.wav,british_isles,england20
./samples/british_isles/sample06.wav,british_isles,scotland7
./samples/british_isles/sample07.wav,british_isles,scotland23
./samples/british_isles/sample08.wav,british_isles,england95
./samples/british_isles/sample09.wav,british_isles,england21
./samples/australasian/sample00.wav,australasian,newzealand28
./samples/australasian/sample01.wav,australasian,australia27
./samples/australasian/sample02.wav,australasian,australia16
./samples/australasian/sample03.wav,australasian,australia17
./samples/australasian/sample04.wav,australasian,australia41
./samples/australasian/sample05.wav,australasian,australia52
./samples/australasian/sample06.wav,australasian,australia35
./samples/australasian/sample07.wav,australasian,newzealand21
./samples/australasian/sample08.wav,australasian,newzealand23
./samples/australasian/sample09.wav,australasian,australia50
./samples/north_american/sample00.wav,north_american,wisconsin1
./samples/north_american/sample01.wav,north_american,minnesota4
./samples/north_american/sample02.wav,north_american,newyork9
./samples/north_american/sample03.wav,north_american,tennessee15
./samples/north_american/sample04.wav,north_american,mississippi12
./samples/north_american/sample05.wav,north_american,washington3
./samples/north_american/sample06.wav,north_american,westvirginia4
./samples/north_american/sample07.wav,north_american,arkansas9
./samples/north_american/sample08.wav,north_american,mississippi5
./samples/north_american/sample09.wav,north_american,iowa6
./samples/chinese/sample00.wav,chinese,sichuan1
./samples/chinese/sample01.wav,chinese,hongkong1
./samples/chinese/sample02.wav,chinese,taiwan1
./samples/chinese/sample03.wav,chinese,zhejiang3
./samples/chinese/sample04.wav,chinese,sichuan6
./samples/chinese/sample05.wav,chinese,jiangsu2
./samples/chinese/sample06.wav,chinese,sichuan1
./samples/chinese/sample07.wav,chinese,hebei5
./samples/chinese/sample08.wav,chinese,jiangsu1
./samples/chinese/sample09.wav,chinese,jiangsu1
./samples/southeast_asian/sample00.wav,southeast_asian,thailand8
./samples/southeast_asian/sample01.wav,southeast_asian,singapore1
./samples/southeast_asian/sample02.wav,southeast_asian,philippines4
./samples/southeast_asian/sample03.wav,southeast_asian,philippines12
./samples/southeast_asian/sample04.wav,southeast_asian,vietnam5
./samples/southeast_asian/sample05.wav,southeast_asian,vietnam1
./samples/southeast_asian/sample06.wav,southeast_asian,indonesia1
./samples/southeast_asian/sample07.wav,southeast_asian,philippines12
./samples/southeast_asian/sample08.wav,southeast_asian,thailand7
./samples/southeast_asian/sample09.wav,southeast_asian,philippines12
./samples/south_asian/sample00.wav,south_asian,nepal1
./samples/south_asian/sample01.wav,south_asian,india10
./samples/south_asian/sample02.wav,south_asian,srilanka4
./samples/south_asian/sample03.wav,south_asian,india8
./samples/south_asian/sample04.wav,south_asian,nepal1
./samples/south_asian/sample05.wav,south_asian,pakistan3
./samples/south_asian/sample06.wav,south_asian,india8
./samples/south_asian/sample07.wav,south_asian,afghanistan2
./samples/south_asian/sample08.wav,south_asian,india17
./samples/south_asian/sample09.wav,south_asian,india14
